tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2015-12-17,ONW0BP8,VOLKSWAGEN,SCIROCCO,2003,18144,2581,1302
2012-07-19,A3ECYUL,FORD,KUGA,2002,101315,5380,1239
2013-03-23,9YVZ080,MERCEDES,C180,2009,179509,3456,1489
2018-10-14,XVGDMO6,FIAT,MAREA,2013,98408,1650,696
2016-04-16,87DGB68,FIAT,MAREA,2000,174239,7247,550
2017-05-30,YY8Q6EW,VOLVO,S90,2012,19581,6435,1478
2019-12-25,L41OTL3,FIAT,MAREA,2006,169057,5759,1426
2013-04-01,SFAULC5,MERCEDES,S350,2012,195088,2880,811
2014-12-27,215DQY2,VOLKSWAGEN,GOLF,2009,60069,9265,1472
2016-05-30,GFIUDOS,FIAT,LINEA,2011,109788,6408,986
2017-11-02,Y6T2U11,VOLKSWAGEN,GOLF,2012,96999,5712,1219
2017-10-20,H3JF6F8,FIAT,EGEA,2009,59093,294,884
2016-04-07,HS87LZW,VOLKSWAGEN,PHOETON,2003,12681,3223,712
2013-06-09,TMZXVI6,MERCEDES,A180,2004,46581,9019,389
2018-03-31,NR6OBTW,FIAT,FIORINO,2013,35161,9251,1257
2012-06-10,KF7R325,MERCEDES,C180,2012,163603,1447,1876
2015-09-01,J5SAPRB,VOLKSWAGEN,POLO,2007,49894,2402,1607
2015-05-16,TNEZIFB,FORD,ESCORT,2005,92997,2770,258
2017-12-02,ZDRTYHH,FORD,ESCORT,2005,161167,7643,1713
2014-07-19,M7MVKIU,MERCEDES,A180,2008,139578,4258,1350
2010-01-29,PMV6S26,FIAT,MAREA,2010,189399,9782,1305
2017-05-09,DKF56MC,FORD,FOCUS,2005,136947,9791,1473
2014-08-08,P4ZMM4U,FIAT,DOBLO,2000,50569,1004,1238
2015-05-10,IVJBNYB,FIAT,SPIDER,2003,38972,1289,1577
2014-02-04,IYW65G6,MERCEDES,S600,2011,79017,7989,842
2013-06-28,6TQ9SCM,VOLKSWAGEN,PHOETON,2012,164228,9214,1884
2017-07-25,AZWWCKD,VOLKSWAGEN,PASSAT,2005,129666,9981,1315
2019-06-21,A1KJG1S,FORD,KUGA,2008,151865,1887,1892
2010-03-16,HU800NQ,VOLKSWAGEN,GOLF,2007,83694,5311,627
2013-07-27,O1135VY,FIAT,EGEA,2012,47216,6983,677
2013-01-11,H7URTHO,VOLKSWAGEN,PASSAT,2000,180910,61,1747
2012-08-09,68Z4W1Q,MERCEDES,S600,2009,158694,8254,1300
2019-05-10,2OJN1CA,FORD,KA,2013,160558,1912,1663
2017-06-29,WQYY3IW,VOLKSWAGEN,JETTA,2001,40821,5803,1348
2015-12-18,NNP8QD6,FORD,MONDEO,2005,114738,9451,1206
2011-05-01,MPEEAEC,FORD,MONDEO,2003,132413,6378,968
2013-12-28,6TB9OWA,MERCEDES,C180,2005,97290,8620,1109
2014-05-27,BXRAGSZ,FORD,KA,2013,49824,8545,1938
2018-09-08,9GWQN5O,FIAT,MAREA,2015,160764,6035,1708
2018-12-08,MY9H1WS,VOLVO,V40,2008,29346,600,596
2013-05-19,D2ZH4WS,VOLVO,S60,2005,136320,7103,1721
2013-05-25,O0FGT2P,FIAT,DOBLO,2000,56525,3741,1400
2016-03-23,0CQ4ZYQ,VOLKSWAGEN,PASSAT,2015,8623,1124,1122
2014-05-07,3UQ6OSI,FIAT,LINEA,2003,107322,2107,1392
2012-08-27,6DJ8M10,VOLVO,XC90,2002,141890,388,818
2017-01-02,X1QLBMY,FORD,FOCUS,2007,152872,3096,414
2010-12-19,IEKJSRV,FIAT,EGEA,2002,101816,5085,1772
2017-09-12,Q1ANJ2Y,FIAT,DOBLO,2016,20397,4752,357
2013-08-18,M8IY8EN,MERCEDES,A180,2004,156101,4405,1386
2011-11-09,1T3MMNC,VOLVO,S90,2010,116941,2659,1310
2016-03-20,MK5SBA7,VOLKSWAGEN,POLO,2001,70085,1009,1433
2011-07-25,U8V4MEA,VOLVO,V40,2008,26238,5629,887
2019-01-13,DFXD2IF,VOLKSWAGEN,POLO,2011,72158,1364,255
2017-08-05,JGNUHLI,FORD,FOCUS,2004,198789,1876,1777
2016-02-29,1H9ZUF0,FORD,MONDEO,2008,131181,1759,367
2012-04-05,QANRGR6,VOLVO,V60,2004,92355,5907,309
2014-11-24,X20VUPN,FORD,KA,2002,156634,3537,313
2016-02-29,XTLU9DV,FIAT,EGEA,2002,125669,790,288
2019-02-21,LZR1E14,VOLVO,S60,2005,104117,5654,1660
2010-08-19,VKA38YH,FORD,KUGA,2004,179671,5524,293
2012-06-17,CQMHNBL,VOLKSWAGEN,GOLF,2004,175141,5806,1616
2013-08-19,BU6SKBG,FIAT,SPIDER,2010,190245,5606,1974
2019-08-31,9TXXX6E,VOLVO,V60,2015,71038,3074,354
2010-09-04,Y73FBQ9,FORD,MONDEO,2005,6579,5895,290
2019-04-04,TVSLVKE,FORD,MONDEO,2001,146247,3625,707
2011-10-25,7U6I7VS,MERCEDES,C180,2005,134389,6304,1145
2019-11-09,0Y6IQSS,MERCEDES,E250,2004,18672,2773,1659
2016-10-24,WM8GMLH,VOLVO,S40,2009,31524,9788,1277
2014-08-16,IM9495P,VOLVO,XC90,2009,49037,3888,435
2019-08-05,1EWW8XS,MERCEDES,E200,2005,77078,8277,637
2013-06-20,SS1D2SF,MERCEDES,S350,2008,116263,7417,1112
2020-02-05,NNA7Q19,FORD,KA,2002,173445,9803,1317
2018-03-10,N0H3TVW,MERCEDES,E200,2008,27232,8412,917
2011-12-03,QPVDERA,FIAT,MAREA,2008,24201,9357,362
2012-03-21,OX9XDDA,VOLKSWAGEN,SCIROCCO,2008,113975,2973,1165
2010-06-29,8IITGFP,FIAT,ALBEA,2000,118317,2863,1401
2014-07-26,Q76G59K,VOLVO,S90,2009,48067,7444,943
2013-01-31,BI4QTUJ,VOLVO,S60,2008,108875,3090,427
2014-07-12,0EGZAAU,MERCEDES,S350,2006,76167,6776,1833
2018-01-26,UISGABJ,MERCEDES,S350,2008,110264,5658,1219
2010-06-02,2FO5T0Z,VOLKSWAGEN,PASSAT,2003,195452,7010,1902
2013-09-29,4HNIG4G,VOLKSWAGEN,PASSAT,2008,188307,9339,1754
2017-03-12,7U5RQTC,VOLKSWAGEN,PHOETON,2017,40866,978,752
2014-10-26,A1V3Y88,VOLVO,S60,2012,162744,5265,968
2014-05-21,HZJUDFK,VOLKSWAGEN,POLO,2004,97953,9425,1254
2015-06-17,R9TRGIA,FORD,MONDEO,2008,153670,532,1428
2016-01-04,W2NHCU3,FORD,KA,2009,94115,8210,684
2015-01-07,AVVXM3I,FORD,KA,2002,175839,8912,328
2015-11-23,FTK8TIJ,MERCEDES,E250,2004,161638,8694,1507
2015-03-15,ELS8K9B,FORD,MONDEO,2002,61759,9590,854
2017-05-10,1ONR9B3,VOLVO,S90,2003,146299,9978,682
2011-04-23,V5FKKIX,MERCEDES,S600,2010,86006,1103,1101
2013-01-26,5P5YFZS,MERCEDES,S350,2012,166861,6324,1770
2014-03-24,L511QYI,VOLVO,S60,2004,95843,5376,969
2017-06-10,YC0BRL6,FIAT,LINEA,2000,121541,2095,1917
2016-01-28,C1QIS1M,MERCEDES,E250,2016,82134,7357,613
2016-11-03,HG7UP7I,VOLKSWAGEN,JETTA,2012,199579,9565,909
2012-09-23,SDC9AJO,FIAT,MAREA,2004,199179,2235,280
2014-06-22,R40TRLD,MERCEDES,A180,2013,64877,9579,1774
2017-04-25,3EZT5EK,MERCEDES,E200,2014,151657,5520,924
2016-10-06,A9RDZT9,VOLKSWAGEN,GOLF,2009,29087,3500,993
2013-12-18,X6UIS3Y,MERCEDES,E200,2013,154967,101,1810
2010-08-23,I6CWKG4,FIAT,DOBLO,2001,114934,878,1963
2016-12-02,VELXN5W,MERCEDES,A180,2005,31463,420,598
2010-04-28,7IB2IGR,MERCEDES,A180,2003,119731,8648,1439
2017-10-25,1TZXVQS,VOLKSWAGEN,GOLF,2014,7422,8432,981
2018-08-28,QFYTLFD,FIAT,FIORINO,2002,80012,8749,523
2014-04-21,QV1ML7Y,VOLKSWAGEN,PHOETON,2002,30310,7416,1092
2015-09-14,37MTKT4,VOLKSWAGEN,SCIROCCO,2000,159410,8293,1883
2011-04-27,2V1RSUX,VOLKSWAGEN,GOLF,2005,15536,6850,490
2015-07-26,APGG326,FIAT,DOBLO,2006,165538,3084,1048
2013-01-25,CDFOQT6,VOLKSWAGEN,SCIROCCO,2006,126965,2831,977
2018-12-07,GDIPQGQ,VOLKSWAGEN,PHOETON,2017,150383,2166,592
2010-04-23,1ZO9MXN,VOLKSWAGEN,POLO,2000,70007,8999,1232
2017-01-17,F5ITZUC,MERCEDES,A180,2007,171603,628,1266
2017-04-08,THZS4MV,FIAT,DOBLO,2014,175269,7273,1847
2014-07-23,ALPRYER,FORD,FOCUS,2005,44376,7542,854
2014-02-04,DW7BC0S,VOLKSWAGEN,PHOETON,2000,42004,6941,1150
2015-06-10,1PEABST,VOLVO,V60,2015,86680,7720,1171
2016-02-05,MD12JNA,VOLVO,S90,2015,187098,6892,1462
2013-03-01,4DS6FUW,VOLVO,XC90,2003,164288,5308,354
2017-12-30,GCKY4SF,MERCEDES,E200,2007,144751,5640,915
2018-11-23,REGZY2M,FORD,KUGA,2011,30466,7656,1669
2017-09-08,VKEK7Z2,MERCEDES,A180,2003,112467,2329,581
2015-04-03,VM6TAAW,MERCEDES,S600,2012,3881,1475,1385
2014-10-23,LBIFAJW,FORD,FOCUS,2001,105072,4850,1753
2015-04-29,CON6LK4,VOLKSWAGEN,GOLF,2015,153648,3378,1153
2010-09-10,4W0Q3TM,VOLKSWAGEN,GOLF,2000,157465,8082,482
2019-01-21,Q53WMB2,MERCEDES,E250,2016,166593,6838,1712
2015-11-16,45W3D4T,VOLVO,XC90,2007,139516,9632,1917
2020-01-20,2TA4L7Z,VOLVO,V40,2016,45696,662,1072
2019-06-09,SHE17JO,MERCEDES,E200,2000,176891,5673,1760
2010-09-21,M0PNTN0,VOLVO,V40,2003,171445,6595,1952
2010-05-10,U8HXMS1,FIAT,LINEA,2001,50923,7470,1915
2018-03-27,CT8ANIZ,VOLVO,S90,2017,196509,3482,1705
2011-08-05,5N9TU6X,FORD,FOCUS,2008,116126,6385,1725
2014-02-25,JROEUHT,VOLKSWAGEN,JETTA,2006,174207,6521,746
2012-06-21,AIH6WB4,VOLVO,S90,2012,25405,5191,1754
2014-05-06,3ER1RZ6,VOLVO,V60,2000,22882,5658,1125
2013-11-22,YKC7P8W,FIAT,EGEA,2010,161348,2605,751
2014-08-31,J1XB313,MERCEDES,S600,2008,85122,1762,1061
2012-10-13,VEANBZH,MERCEDES,E200,2000,22015,8595,1202
2017-03-07,IK6PCX1,VOLKSWAGEN,SCIROCCO,2006,144570,9345,1159
2018-05-20,PULMZQN,VOLVO,S40,2007,90973,6513,262
2017-06-11,O5DSR8Y,VOLVO,S90,2016,88793,1985,1544
2010-01-20,9P8Q5K8,MERCEDES,E250,2007,153539,7064,831
2016-01-21,C81I3S1,VOLVO,XC90,2011,87041,438,1882
2017-07-09,JHHYK4G,FIAT,EGEA,2012,132231,7602,466
2020-04-15,WN79O8G,MERCEDES,C180,2007,108101,5796,619
2011-12-24,21KBBEN,VOLKSWAGEN,PHOETON,2004,159983,4533,1592
2020-01-26,K1X2JWB,FORD,FOCUS,2007,122009,6316,261
2015-12-17,9Q35WQL,FORD,MONDEO,2010,2657,2839,1227
2016-11-24,AZQI3II,MERCEDES,S600,2003,98794,360,1821
2012-06-05,MQBAXA8,FIAT,ALBEA,2012,61373,8740,348
2011-04-08,F43D7UZ,MERCEDES,A180,2004,89486,9455,1493
2018-06-11,7RNRXX9,VOLKSWAGEN,PHOETON,2005,58988,5028,320
2011-04-18,N7WXZPO,MERCEDES,E200,2006,162068,5468,1454
2012-09-15,7NMC9M7,VOLVO,V60,2010,114417,2575,1364
2011-02-17,9FXCNF5,VOLKSWAGEN,GOLF,2008,143792,8195,1601
2018-02-21,QDE3VJE,FORD,MONDEO,2013,41611,6164,403
2015-05-29,WI4B483,FORD,ESCORT,2012,197998,309,378
2014-07-06,CPDVNR2,VOLKSWAGEN,JETTA,2003,119583,4296,1499
2014-11-10,UJ8DTC3,FORD,MONDEO,2007,153314,4970,1559
2010-06-09,K3SDSE2,FIAT,ALBEA,2007,29003,1753,1046
2013-10-18,HN8VEQ2,VOLKSWAGEN,JETTA,2008,89018,3617,986
2016-08-29,BEGLTYA,VOLKSWAGEN,JETTA,2015,6389,838,1958
2016-09-25,MGKO1LP,MERCEDES,A180,2004,84271,5141,963
2012-09-01,Y7463V3,VOLVO,S60,2007,164163,8595,1945
2017-08-05,N6Y54OA,VOLKSWAGEN,PASSAT,2011,168516,8155,881
2013-02-14,P7FWDXI,FORD,FOCUS,2009,152739,6922,934
2018-06-04,ISDZF1T,FIAT,DOBLO,2003,84850,5351,525
2020-03-11,JSXG8TU,FORD,KA,2015,196749,7380,1818
2016-09-21,VZ66C9L,FORD,ESCORT,2005,146523,6888,983
2010-03-29,GDB50DR,VOLVO,S90,2007,157634,2062,1463
2016-12-28,110AABC,VOLVO,XC90,2007,39288,6483,290
2016-03-14,LFS449W,VOLKSWAGEN,JETTA,2008,167957,6195,1093
2012-04-20,3OC250U,VOLKSWAGEN,PHOETON,2001,40784,1354,1174
2013-10-12,GFPWQTX,VOLVO,V40,2003,168875,5126,1238
2013-08-06,UXIATXY,MERCEDES,S350,2007,66915,5232,908
2019-05-03,0PCHK54,FIAT,LINEA,2014,122985,5947,468
2010-11-23,M214WHD,MERCEDES,E200,2002,31420,7027,1192
2016-04-05,LCYN9UQ,FORD,ESCORT,2010,4164,1362,1593
2012-03-27,5NBSR93,MERCEDES,S350,2000,22280,4003,1138
2011-08-12,FW2TPFM,MERCEDES,S350,2005,16557,4234,1903
2016-08-07,8WBSTXF,VOLVO,V40,2014,125701,8202,1184
2019-03-06,V50MJ4D,VOLKSWAGEN,GOLF,2016,125304,8307,1192
2011-03-20,MQOJ2RX,FORD,FIESTA,2008,149047,7624,1174
2019-06-15,4BWG7RD,VOLVO,S60,2008,55515,3794,1496
2015-02-05,TXY83UK,VOLVO,XC90,2012,129684,9654,1353
2016-03-31,G36YAX4,VOLVO,V60,2012,194246,6515,601
2019-07-03,M0S7FZW,VOLKSWAGEN,GOLF,2015,127080,2728,489
2011-12-27,NHALRB7,VOLKSWAGEN,PHOETON,2007,100931,82,379
2010-08-02,O85VGXA,VOLKSWAGEN,SCIROCCO,2010,168837,3070,880
2014-12-28,GNVJHTD,MERCEDES,A180,2012,63015,2220,1096
2015-08-29,UB860D4,FORD,ESCORT,2004,41884,2638,251
2017-02-05,QTELMDU,MERCEDES,E200,2005,148563,8761,345
2010-06-25,ZM8CGFM,MERCEDES,A180,2007,86656,8256,437
2016-12-24,84MRZGO,MERCEDES,S600,2005,25974,5848,610
2020-01-07,SUDVEFN,FORD,MONDEO,2005,23356,7209,996
2017-08-12,254H889,VOLVO,S40,2011,73457,6809,1931
2019-04-29,JSKB2SB,FIAT,MAREA,2011,46160,7267,1041
2011-01-06,16I2HI1,MERCEDES,S600,2005,89827,9711,579
2011-08-18,24JSU8N,VOLKSWAGEN,SCIROCCO,2010,62575,1786,393
2018-02-02,HMHY8OC,FORD,ESCORT,2017,150890,9999,1475
2020-06-04,3C55RJN,VOLKSWAGEN,POLO,2013,42154,6266,285
2016-09-16,XJJE44Z,VOLKSWAGEN,JETTA,2001,54080,7741,850
2010-12-16,QIW8XHP,VOLKSWAGEN,PASSAT,2008,62976,8233,1397
2013-01-20,QWKC2FA,FIAT,FIORINO,2005,104859,1388,1430
2015-01-21,1IJDYAF,MERCEDES,C180,2002,125856,4563,830
2018-12-01,UHKEXWE,VOLVO,V60,2006,166520,4150,735
2014-03-17,AU9C7BI,FORD,KUGA,2006,81513,8632,832
2011-10-04,Z1M9KLF,FORD,FOCUS,2008,22535,3433,1262
2012-07-06,RK1UPMJ,VOLVO,XC90,2001,63965,7029,1917
2016-10-12,IX8F5IE,VOLVO,S90,2005,21400,4407,1675
2013-05-30,YUN1HFG,FORD,KA,2006,134808,2351,1364
2019-11-01,97AF4YF,VOLVO,XC90,2007,83858,4786,487
2010-01-27,VOH3L7S,MERCEDES,A180,2010,49325,4082,1801
2019-12-13,EZZDOSV,FIAT,LINEA,2010,96322,1661,1630
2014-12-30,UI0U0FI,FORD,KUGA,2003,11700,678,389
2014-02-21,ZVZU3MM,MERCEDES,C180,2006,88114,2737,1615
2013-10-10,EZS0WKU,FIAT,SPIDER,2002,68931,7637,442
2010-05-25,YRJJ129,VOLKSWAGEN,JETTA,2008,194664,9341,484
2016-07-09,6UY3ZEC,FORD,FIESTA,2002,183928,1479,1772
2014-09-21,YP8V4YP,FORD,MONDEO,2012,114802,5577,1388
2017-04-25,KTN4C9X,FORD,MONDEO,2002,68415,5056,258
2014-12-20,4Z3AG7T,FIAT,SPIDER,2000,12190,3515,1312
2010-04-30,6PHQAPT,FIAT,LINEA,2007,191389,7152,1219
2017-06-09,BNUD9TP,VOLVO,S40,2002,5396,7972,1301
2016-06-18,HZSMDI6,VOLVO,S90,2010,98527,4412,613
2014-03-04,TS6AY0T,VOLKSWAGEN,JETTA,2000,59873,5284,1753
2014-04-15,6Y3LORJ,VOLVO,V40,2005,131315,5080,546
2019-11-25,XRHPBYK,FIAT,SPIDER,2009,99635,9945,1053
2013-10-24,5QFF31P,VOLVO,S60,2002,126234,7102,1790
2019-01-14,86X7BYA,VOLKSWAGEN,GOLF,2019,137776,2716,1802
2016-10-15,8L2E510,FIAT,EGEA,2014,118558,1099,1215
2020-04-14,1CT43LU,FORD,FOCUS,2016,175168,9704,1777
2019-05-19,IDSHEJW,VOLKSWAGEN,PASSAT,2019,170404,643,1517
2016-06-21,H8QY52J,MERCEDES,S350,2002,159647,9873,310
2018-05-20,QBO7JAX,FORD,ESCORT,2009,7563,2153,1564
2011-10-02,AAVQ8MN,MERCEDES,C180,2001,159427,3605,947
2011-05-04,TZ640VD,FORD,KUGA,2011,117986,9508,1108
2016-12-20,6EHWU9K,MERCEDES,E200,2015,28761,696,1734
2018-05-21,F0LSLSP,VOLVO,S60,2015,186373,8564,1295
2010-08-14,4B58QPM,MERCEDES,E200,2002,179728,6925,1854
2011-10-23,HSAJY4E,FIAT,LINEA,2001,72146,8560,1358
2019-02-14,3GPGZSS,FORD,KA,2001,70205,677,910
2011-04-10,DYC52I1,VOLKSWAGEN,PASSAT,2004,190173,374,1223
2013-04-03,NY9NQK7,FIAT,FIORINO,2007,165791,1739,1144
2016-09-30,B58JACU,FORD,FOCUS,2002,125622,4987,1700
2010-07-26,4NSDTKX,FIAT,EGEA,2005,44457,8272,431
2012-10-09,7Y82NT1,VOLVO,V60,2006,65536,7666,714
2010-04-10,4978TP0,MERCEDES,S600,2006,181735,1822,1610
2020-04-25,CP4DBYZ,VOLKSWAGEN,POLO,2007,51438,9817,1474
2015-09-25,IG4IX8O,FIAT,MAREA,2001,54188,9428,1143
2019-02-05,0Y4PT42,FORD,KA,2009,73911,7733,1809
2016-02-25,N4G2ORY,FIAT,EGEA,2016,43791,7206,540
2015-07-29,Z7JC14K,FORD,FOCUS,2001,195354,7620,1415
2016-08-27,9X5WFZ5,VOLVO,S60,2003,111008,6645,699
2010-02-23,47CGSH1,VOLKSWAGEN,PHOETON,2005,195035,9222,795
2018-03-01,TNAG7YJ,FORD,KUGA,2017,3206,3944,293
2016-03-09,GFGIN9T,MERCEDES,E200,2000,174694,5937,1209
2013-02-10,B36G00V,VOLKSWAGEN,POLO,2003,63478,6133,1617
2020-02-01,4M7AUNS,FIAT,FIORINO,2019,78853,8753,564
2012-04-27,AXNLTY0,VOLVO,XC90,2006,81272,643,1974
2012-11-06,6RUBFVZ,MERCEDES,E200,2000,167110,5680,472
2012-02-25,GAHCBZL,FORD,FOCUS,2011,4887,3145,1605
2018-01-29,DLQUQQS,FIAT,LINEA,2018,67498,6626,1656
2017-10-05,LBR87N6,MERCEDES,E250,2008,5434,3846,1147
2016-03-23,HUMNYUT,FORD,ESCORT,2006,119267,6379,416
2015-06-04,4DAMH9Z,FORD,FIESTA,2013,177151,5265,352
2011-03-15,OD9W1TC,VOLVO,V40,2001,20467,541,1350
2018-03-24,IZZKE6X,MERCEDES,A180,2015,21739,9295,1647
2011-11-12,1Q9IA4R,MERCEDES,S600,2011,64833,963,1893
2014-02-07,ANTZLG5,FORD,MONDEO,2011,50874,9154,763
2013-12-10,P76PTIT,VOLVO,S40,2004,152288,3588,1682
2012-07-02,4PKS1TW,VOLVO,V40,2004,134844,7416,1441
2014-08-07,S8ZNO9R,VOLVO,S40,2004,13477,6254,1045
2018-10-02,POWQO7E,MERCEDES,S600,2005,152694,4039,291
2016-06-02,YWAO2E2,VOLKSWAGEN,SCIROCCO,2010,63316,4898,1880
2014-11-01,ASUEXYL,VOLVO,S90,2004,101511,5989,514
2020-03-30,QBP07JT,MERCEDES,E200,2006,157085,5800,1552
2011-11-10,HTAUPJA,VOLKSWAGEN,PHOETON,2005,179082,9351,1380
2017-08-04,4S9T2LT,VOLVO,S90,2015,135556,3809,957
2011-06-11,MBIC9ZO,VOLKSWAGEN,GOLF,2002,47743,5963,1790
2012-05-21,JO4EVH2,FORD,ESCORT,2000,25753,6570,1506
2017-01-26,SDP6BEG,VOLKSWAGEN,PASSAT,2016,129951,8385,1595
2013-09-17,285A6OK,FIAT,FIORINO,2010,108454,9281,464
2020-04-17,3QPG28I,FORD,KA,2007,108380,8738,291
2012-07-04,Z7J2HQB,MERCEDES,E200,2008,73371,1293,337
2019-03-31,T3EUQK0,MERCEDES,S350,2015,187763,5498,1920
2015-01-24,8JOHZ0F,FIAT,DOBLO,2014,1165,258,1223
2013-07-09,DRDUKX9,VOLVO,S90,2007,13990,6929,1360
2019-01-16,38VD87T,FIAT,FIORINO,2019,160480,2162,279
2010-05-27,4J5JDFN,VOLVO,XC90,2010,117556,9660,1049
2018-01-10,QRVKJEP,VOLVO,S90,2004,4944,4719,1736
2016-08-19,PFIZ6AX,VOLKSWAGEN,PASSAT,2002,143903,9393,1921
2013-06-06,7FQW45I,VOLVO,S40,2011,111365,3192,1846
2014-10-19,TPUSAEA,FIAT,LINEA,2004,128155,1215,1857
2015-09-16,C9VCUV3,VOLVO,S90,2007,124822,9860,1202
2014-11-01,TWOX3QG,VOLKSWAGEN,POLO,2004,66775,9081,1612
2011-01-27,BGNGS3Y,FORD,FIESTA,2004,37597,9281,1282
2016-02-06,TY46VJI,FIAT,MAREA,2004,53221,2889,1570
2015-09-08,I9HLJOE,FORD,ESCORT,2009,92268,5604,732
2016-06-10,3S0NWSM,FORD,FOCUS,2008,23955,7804,764
2014-01-18,01XBCKH,VOLKSWAGEN,JETTA,2011,4406,193,841
2015-03-04,BL5WBCG,VOLKSWAGEN,GOLF,2014,185432,495,1030
2014-06-06,VI36UHS,VOLVO,S90,2010,37311,5282,1306
2016-09-03,GBRWO3X,VOLKSWAGEN,JETTA,2012,30617,613,632
2016-10-21,8DMCJ5B,MERCEDES,S600,2004,124391,9219,1004
2011-02-22,OTG158Q,MERCEDES,E200,2010,83353,6600,1305
2020-01-18,WHPH8XH,MERCEDES,S600,2012,85056,7127,407
2013-05-27,A9WNOVJ,FORD,MONDEO,2009,159768,7927,421
2014-11-04,ERI1PFS,VOLKSWAGEN,PASSAT,2001,84553,7371,1066
2020-03-14,I4GQ6IS,VOLKSWAGEN,PHOETON,2020,13874,5659,939
2013-08-17,LMR2Q9E,MERCEDES,A180,2009,5271,8551,1442
2017-01-27,W7R2SL5,FORD,MONDEO,2015,165460,1430,595
2011-08-14,K4VIH01,FIAT,ALBEA,2005,117516,6958,1408
2014-12-10,Z8X46TW,FORD,FOCUS,2009,121253,1073,1034
2017-06-23,9S896R8,FIAT,MAREA,2000,135524,9045,285
2020-05-02,TCJCC01,FORD,KA,2007,55441,2601,819
2011-03-07,0JV6PLG,FORD,FIESTA,2000,12678,8053,388
2018-01-17,KWO8QTF,FIAT,SPIDER,2000,38270,9381,1594
2010-07-13,OCFF8AT,VOLKSWAGEN,JETTA,2004,82468,5200,850
2020-03-25,YTWCRWA,FIAT,FIORINO,2016,187416,422,1270
2012-01-24,N5ZCPD5,FORD,MONDEO,2008,175380,6225,885
2015-12-11,U0OXWJP,MERCEDES,S350,2012,152330,4613,1608
2020-06-02,K8KZP5S,VOLVO,S40,2001,104781,3097,1017
2013-03-19,129T62Y,VOLKSWAGEN,PHOETON,2004,181050,2708,1890
2013-08-06,QHWUC0N,MERCEDES,E200,2004,145892,1584,1420
2011-08-24,NQVXAHW,FIAT,FIORINO,2010,39067,5685,1087
2015-10-28,IRPC0V3,FORD,FOCUS,2008,119392,7350,1578
2010-07-07,YYK7FYE,FIAT,DOBLO,2004,70620,2183,304
2019-08-11,1NPJBHZ,FORD,KUGA,2013,165707,3302,332
2016-09-07,0AWFEOV,MERCEDES,A180,2006,90323,7863,317
2015-02-22,D20QSJX,VOLKSWAGEN,PHOETON,2003,23117,8962,1532
2010-03-18,YMT3LJJ,FIAT,FIORINO,2006,168004,4248,1694
2019-09-10,6EYH2RL,VOLVO,S40,2009,21649,4451,417
2019-11-15,78Q4CIZ,FIAT,SPIDER,2014,7773,2031,1800
2014-01-13,G0J3WNZ,VOLKSWAGEN,GOLF,2013,134255,3497,1523
2017-04-20,R531BSU,VOLVO,S90,2000,76734,7849,1279
2010-04-22,U5MWC7J,VOLKSWAGEN,GOLF,2004,40205,9137,1205
2018-08-14,LKNE451,VOLKSWAGEN,GOLF,2007,155375,3050,713
2014-08-02,7AR39QZ,VOLKSWAGEN,POLO,2007,4008,1103,1341
2019-08-18,2NLHTKO,FIAT,FIORINO,2017,137354,321,1655
2013-11-02,4H17JR0,FORD,KUGA,2006,177841,4759,1297
2013-07-16,CZJUPO1,FORD,MONDEO,2013,69618,7103,1099
2011-03-17,VH3YJAC,VOLKSWAGEN,JETTA,2007,166058,3787,765
2020-03-01,0Q9C493,FORD,FIESTA,2005,68194,9802,365
2015-01-22,AAYSI6D,VOLVO,V40,2000,158246,2927,1345
2019-08-22,W0V9Q9Q,VOLVO,V60,2000,50492,6872,1641
2015-05-10,57EUUCB,FORD,KA,2013,24639,9319,918
2011-03-19,K5JY3P1,VOLVO,V60,2004,68594,4732,877
2014-01-25,WCECH5W,FORD,KUGA,2002,72578,8002,1408
2017-03-29,GJQJNTQ,FORD,ESCORT,2010,94017,2570,636
2018-12-20,WOLA65S,VOLKSWAGEN,SCIROCCO,2004,157450,1475,573
2010-06-22,WP16I0W,FORD,MONDEO,2000,20113,6583,521
2020-05-18,NB2TSDK,VOLKSWAGEN,JETTA,2014,105534,8403,665
2019-03-26,O6XKFWC,FORD,KUGA,2012,162299,3533,1339
2012-04-02,QN2QO9T,VOLVO,S40,2008,55109,6629,1668
2017-02-28,VBLLNC0,FORD,ESCORT,2011,133857,5464,1971
2017-12-22,FXG1V9B,VOLVO,XC90,2003,89145,719,1959
2014-10-06,PQWQSOF,FIAT,MAREA,2013,82573,2652,1608
2013-05-13,BFPK9TB,FIAT,FIORINO,2007,14758,9214,1433
2010-04-17,HQNXILI,VOLVO,S60,2009,10061,1397,902
2017-11-24,IPKJG4J,FORD,FOCUS,2005,70142,8695,436
2019-10-16,YRCBYC0,VOLKSWAGEN,SCIROCCO,2019,177881,5457,1894
2015-05-13,23N3LRV,FIAT,FIORINO,2010,114957,8214,1696
2013-06-27,WVWUV90,MERCEDES,A180,2002,76737,7122,1858
2017-01-20,7JM4OJ5,MERCEDES,S600,2007,59151,9630,476
2016-01-10,8L02NNQ,VOLVO,S60,2014,135394,6325,1865
2015-11-23,PP1KS1G,VOLVO,V60,2001,38389,3132,1069
